Dice => [3, 3]
Dice => [1, 6]
Dice => [1, 2]
Dice => [6, 4]
Dice => [4, 5]
Dice => [6, 6]
Dice => [4, 3]
Dice => [2, 6]
Dice => [6, 3]
Dice => [2, 2]
Dice => [4, 6]
Dice => [1, 1]
Dice => [6, 5]
Dice => [2, 4]
Dice => [5, 3]
Dice => [6, 5]
Dice => [4, 2]
Dice => [6, 6]
Dice => [6, 6]
Dice => [4, 1]
Dice => [6, 1]
Dice => [2, 3]
Dice => [5, 6]
Dice => [2, 5]
Dice => [6, 2]
Dice => [2, 3]
Dice => [2, 5]
Dice => [5, 1]
Dice => [1, 2]
Dice => [1, 4]
Dice => [5, 2]
Dice => [3, 3]
Dice => [2, 4]
Dice => [6, 1]
Dice => [3, 1]
Dice => [4, 5]
Dice => [2, 5]
Dice => [6, 2]
Dice => [4, 1]
Dice => [1, 6]
Dice => [5, 1]
Chance Card => building_loan_matures
Chance Card => go_back_three_spaces
Chance Card => building_loan_matures
building_loan_matures is classified as positive_cash_from_bank
Chance Card => go_back_three_spaces
go_back_three_spaces is classified as movement_relative
Mediterranean-Avenue is located at 1
Mediterranean-Avenue is classified as real_estate
Mediterranean-Avenue is colored as Brown
Mediterranean-Avenue is price-1-house at 50
Mediterranean-Avenue is rented-1-hotel at 250
Mediterranean-Avenue is rented-0-house at 2
Mediterranean-Avenue is rented-1-house at 10
Mediterranean-Avenue is rented-2-house at 30
Mediterranean-Avenue is rented-3-house at 90
Mediterranean-Avenue is rented-4-house at 160
Mediterranean-Avenue is mortgaged at 30
Mediterranean-Avenue is priced at 60
Baltic-Avenue is located at 3
Baltic-Avenue is classified as real_estate
Baltic-Avenue is colored as Brown
Baltic-Avenue is price-1-house at 50
Baltic-Avenue is rented-1-hotel at 450
Baltic-Avenue is rented-0-house at 4
Baltic-Avenue is rented-1-house at 20
Baltic-Avenue is rented-2-house at 60
Baltic-Avenue is rented-3-house at 180
Baltic-Avenue is rented-4-house at 320
Baltic-Avenue is mortgaged at 30
Baltic-Avenue is priced at 1499
Oriental-Avenue is located at 6
Oriental-Avenue is classified as real_estate
Oriental-Avenue is colored as SkyBlue
Oriental-Avenue is price-1-house at 50
Oriental-Avenue is rented-1-hotel at 550
Oriental-Avenue is rented-0-house at 6
Oriental-Avenue is rented-1-house at 30
Oriental-Avenue is rented-2-house at 90
Oriental-Avenue is rented-3-house at 270
Oriental-Avenue is rented-4-house at 400
Oriental-Avenue is mortgaged at 50
Oriental-Avenue is priced at 100
Chance is located at 7
Chance is classified as action
Vermont-Avenue is located at 8
Vermont-Avenue is classified as real_estate
Vermont-Avenue is colored as SkyBlue
Vermont-Avenue is price-1-house at 50
Vermont-Avenue is rented-1-hotel at 550
Vermont-Avenue is rented-0-house at 6
Vermont-Avenue is rented-1-house at 30
Vermont-Avenue is rented-2-house at 90
Vermont-Avenue is rented-3-house at 270
Vermont-Avenue is rented-4-house at 400
Vermont-Avenue is mortgaged at 50
Vermont-Avenue is priced at 100
In-Jail/Just-Visiting is located at 10
In-Jail/Just-Visiting is classified as do_nothing
St.-Charles-Place is located at 11
St.-Charles-Place is classified as real_estate
St.-Charles-Place is colored as Orchid
St.-Charles-Place is price-1-house at 10
St.-Charles-Place is rented-1-hotel at 750
St.-Charles-Place is rented-0-house at 10
St.-Charles-Place is rented-1-house at 50
St.-Charles-Place is rented-2-house at 150
St.-Charles-Place is rented-3-house at 450
St.-Charles-Place is rented-4-house at 625
St.-Charles-Place is mortgaged at 70
St.-Charles-Place is priced at 140
Electric-Company is located at 12
Electric-Company is classified as utility
Electric-Company is mortgaged at 75
Electric-Company is priced at 150
Pennsylvania-Railroad is located at 15
Pennsylvania-Railroad is classified as railroad
Pennsylvania-Railroad is mortgaged at 100
Pennsylvania-Railroad is priced at 200
St.-James-Place is located at 16
St.-James-Place is classified as real_estate
St.-James-Place is colored as Orange
St.-James-Place is price-1-house at 100
St.-James-Place is rented-1-hotel at 950
St.-James-Place is rented-0-house at 14
St.-James-Place is rented-1-house at 70
St.-James-Place is rented-2-house at 200
St.-James-Place is rented-3-house at 550
St.-James-Place is rented-4-house at 750
St.-James-Place is mortgaged at 90
St.-James-Place is priced at 180
Tennessee-Avenue is located at 18
Tennessee-Avenue is classified as real_estate
Tennessee-Avenue is colored as Orange
Tennessee-Avenue is price-1-house at 100
Tennessee-Avenue is rented-1-hotel at 950
Tennessee-Avenue is rented-0-house at 14
Tennessee-Avenue is rented-1-house at 70
Tennessee-Avenue is rented-2-house at 200
Tennessee-Avenue is rented-3-house at 550
Tennessee-Avenue is rented-4-house at 750
Tennessee-Avenue is mortgaged at 90
Tennessee-Avenue is priced at 180
New-York-Avenue is located at 19
